year,city,city_avg,global_avg
1796,Bangalore,24.49,8.27
1797,Bangalore,25.18,8.51
1798,Bangalore,24.65,8.67
1799,Bangalore,24.81,8.51
1800,Bangalore,24.85,8.48
1801,Bangalore,24.49,8.59
1802,Bangalore,25.44,8.58
1803,Bangalore,25.22,8.50
1804,Bangalore,25.67,8.84
1805,Bangalore,25.01,8.56
1806,Bangalore,24.87,8.43
1807,Bangalore,24.25,8.28
1808,Bangalore,,7.63
1809,Bangalore,,7.08
1810,Bangalore,,6.92
1811,Bangalore,,6.86
1812,Bangalore,,7.05
1813,Bangalore,24.23,7.74
1814,Bangalore,23.91,7.59
1815,Bangalore,23.79,7.24
1816,Bangalore,23.30,6.94
1817,Bangalore,23.60,6.98
1818,Bangalore,23.94,7.83
1819,Bangalore,23.86,7.37
1820,Bangalore,23.91,7.62
1821,Bangalore,24.40,8.09
1822,Bangalore,24.33,8.19
1823,Bangalore,24.62,7.72
1824,Bangalore,25.10,8.55
1825,Bangalore,24.69,8.39
1826,Bangalore,24.88,8.36
1827,Bangalore,24.67,8.81
1828,Bangalore,24.61,8.17
1829,Bangalore,24.46,7.94
1830,Bangalore,24.39,8.52
1831,Bangalore,24.43,7.64
1832,Bangalore,24.66,7.45
1833,Bangalore,24.46,8.01
1834,Bangalore,24.59,8.15
1835,Bangalore,23.89,7.39
1836,Bangalore,24.12,7.70
1837,Bangalore,24.13,7.38
1838,Bangalore,24.29,7.51
1839,Bangalore,24.24,7.63
1840,Bangalore,24.24,7.80
1841,Bangalore,24.05,7.69
1842,Bangalore,24.22,8.02
1843,Bangalore,23.99,8.17
1844,Bangalore,24.23,7.65
1845,Bangalore,24.46,7.85
1846,Bangalore,24.90,8.55
1847,Bangalore,24.35,8.09
1848,Bangalore,24.35,7.98
1849,Bangalore,24.32,7.98
1850,Bangalore,24.38,7.90
1851,Bangalore,24.45,8.18
1852,Bangalore,24.43,8.10
1853,Bangalore,24.67,8.04
1854,Bangalore,24.73,8.21
1855,Bangalore,24.75,8.11
1856,Bangalore,24.21,8.00
1857,Bangalore,23.87,7.76
1858,Bangalore,24.59,8.10
1859,Bangalore,24.55,8.25
1860,Bangalore,24.41,7.96
1861,Bangalore,24.21,7.85
1862,Bangalore,23.59,7.56
1863,Bangalore,,8.11
1864,Bangalore,,7.98
1865,Bangalore,25.06,8.18
1866,Bangalore,25.00,8.29
1867,Bangalore,24.96,8.44
1868,Bangalore,25.07,8.25
1869,Bangalore,24.92,8.43
1870,Bangalore,24.42,8.20
1871,Bangalore,24.47,8.12
1872,Bangalore,24.48,8.19
1873,Bangalore,24.51,8.35
1874,Bangalore,24.56,8.43
1875,Bangalore,24.64,7.86
1876,Bangalore,24.84,8.08
1877,Bangalore,25.23,8.54
1878,Bangalore,25.15,8.83
1879,Bangalore,24.39,8.17
1880,Bangalore,24.58,8.12
1881,Bangalore,24.76,8.27
1882,Bangalore,24.33,8.13
1883,Bangalore,24.25,7.98
1884,Bangalore,24.35,7.77
1885,Bangalore,24.62,7.92
1886,Bangalore,24.53,7.95
1887,Bangalore,24.31,7.91
1888,Bangalore,24.63,8.09
1889,Bangalore,24.73,8.32
1890,Bangalore,24.46,7.97
1891,Bangalore,24.95,8.02
1892,Bangalore,24.59,8.07
1893,Bangalore,24.38,8.06
1894,Bangalore,24.75,8.16
1895,Bangalore,24.78,8.15
1896,Bangalore,25.12,8.21
1897,Bangalore,25.30,8.29
1898,Bangalore,24.87,8.18
1899,Bangalore,24.74,8.40
1900,Bangalore,25.44,8.50
1901,Bangalore,25.09,8.54
1902,Bangalore,25.06,8.30
1903,Bangalore,24.82,8.22
1904,Bangalore,24.53,8.09
1905,Bangalore,24.92,8.23
1906,Bangalore,25.09,8.38
1907,Bangalore,24.74,7.95
1908,Bangalore,24.66,8.19
1909,Bangalore,24.61,8.18
1910,Bangalore,24.42,8.22
1911,Bangalore,24.76,8.18
1912,Bangalore,25.00,8.17
1913,Bangalore,25.00,8.30
1914,Bangalore,25.02,8.59
1915,Bangalore,25.22,8.59
1916,Bangalore,24.75,8.23
1917,Bangalore,24.46,8.02
1918,Bangalore,24.74,8.13
1919,Bangalore,25.06,8.38
1920,Bangalore,24.99,8.36
1921,Bangalore,24.88,8.57
1922,Bangalore,24.74,8.41
1923,Bangalore,24.84,8.42
1924,Bangalore,24.89,8.51
1925,Bangalore,24.69,8.53
1926,Bangalore,25.14,8.73
1927,Bangalore,25.06,8.52
1928,Bangalore,25.06,8.63
1929,Bangalore,24.87,8.24
1930,Bangalore,24.86,8.63
1931,Bangalore,25.24,8.72
1932,Bangalore,24.68,8.71
1933,Bangalore,24.61,8.34
1934,Bangalore,24.81,8.63
1935,Bangalore,24.93,8.52
1936,Bangalore,24.99,8.55
1937,Bangalore,24.96,8.70
1938,Bangalore,24.91,8.86
1939,Bangalore,24.84,8.76
1940,Bangalore,24.92,8.76
1941,Bangalore,25.55,8.77
1942,Bangalore,25.23,8.73
1943,Bangalore,24.69,8.76
1944,Bangalore,24.92,8.85
1945,Bangalore,25.05,8.58
1946,Bangalore,24.97,8.68
1947,Bangalore,25.02,8.80
1948,Bangalore,25.21,8.75
1949,Bangalore,24.92,8.59
1950,Bangalore,24.85,8.37
1951,Bangalore,25.03,8.63
1952,Bangalore,25.12,8.64
1953,Bangalore,25.18,8.87
1954,Bangalore,24.92,8.56
1955,Bangalore,24.78,8.63
1956,Bangalore,24.73,8.28
1957,Bangalore,25.11,8.73
1958,Bangalore,25.29,8.77
1959,Bangalore,25.24,8.73
1960,Bangalore,25.07,8.58
1961,Bangalore,24.97,8.80
1962,Bangalore,24.90,8.75
1963,Bangalore,25.04,8.86
1964,Bangalore,25.09,8.41
1965,Bangalore,25.04,8.53
1966,Bangalore,25.32,8.60
1967,Bangalore,24.87,8.70
1968,Bangalore,25.00,8.52
1969,Bangalore,25.36,8.60
1970,Bangalore,24.95,8.70
1971,Bangalore,24.74,8.60
1972,Bangalore,25.22,8.50
1973,Bangalore,25.40,8.95
1974,Bangalore,24.94,8.47
1975,Bangalore,24.86,8.74
1976,Bangalore,25.13,8.35
1977,Bangalore,25.20,8.85
1978,Bangalore,25.07,8.69
1979,Bangalore,25.44,8.73
1980,Bangalore,25.45,8.98
1981,Bangalore,25.17,9.17
1982,Bangalore,25.42,8.64
1983,Bangalore,25.59,9.03
1984,Bangalore,25.08,8.69
1985,Bangalore,25.31,8.66
1986,Bangalore,25.51,8.83
1987,Bangalore,25.81,8.99
1988,Bangalore,25.50,9.20
1989,Bangalore,25.20,8.92
1990,Bangalore,25.25,9.23
1991,Bangalore,25.49,9.18
1992,Bangalore,25.16,8.84
1993,Bangalore,25.22,8.87
1994,Bangalore,25.22,9.04
1995,Bangalore,25.44,9.35
1996,Bangalore,25.41,9.04
1997,Bangalore,25.68,9.20
1998,Bangalore,26.01,9.52
1999,Bangalore,25.29,9.29
2000,Bangalore,25.34,9.20
2001,Bangalore,25.53,9.41
2002,Bangalore,25.76,9.57
2003,Bangalore,25.92,9.53
2004,Bangalore,25.25,9.32
2005,Bangalore,25.48,9.70
2006,Bangalore,25.42,9.53
2007,Bangalore,25.46,9.73
2008,Bangalore,25.35,9.43
2009,Bangalore,25.73,9.51
2010,Bangalore,25.71,9.70
2011,Bangalore,25.36,9.52
2012,Bangalore,26.04,9.51
2013,Bangalore,26.61,9.61
